Almeria, Biliran 6544
Biliran, Biliran 6549
Cabucgayan, Biliran 6550
Caibiran, Biliran 6548
Culaba, Biliran 6547
Kawayan, Biliran 6545
Maripipi, Biliran 6546
Naval, Biliran 6543
Giporlos, Eastern Samar 6811
Guiuan, Eastern Samar 6809
Hernani, Eastern Samar 6804
Jipapad, Eastern Samar 6819
Lawa-an, Eastern Samar 6813
Llorente, Eastern Samar 6803
Maslog, Eastern Samar 6820
Maydulong, Eastern Samar 6802
Mercedes, Eastern Samar 6808
Oras, Eastern Samar 6818
Quinapundan, Eastern Samar 6810
Salcedo, Eastern Samar 6807
San Julian, Eastern Samar 6814
San Policarpio, Eastern Samar 6821
Mahaplag, Leyte 6509
Matag-ob, Leyte 6512
Matalom, Leyte 6532
Mayorga, Leyte 6526
Merida, Leyte 6507
Ormoc City, Leyte 6540
Palo, Leyte 6541
Palompon, Leyte 6501
Pastrana, Leyte 6538
Pastrana, Leyte 6514
San Isidro, Leyte 6535
San Miguel, Leyte 6518
Santa Fe, Leyte 6513
Tabango, Leyte 6536
Tabontabon, Leyte 6504
Tacloban City, Leyte 6500
Allen, Northern Samar 6405
Biri, Northern Samar 6410
Bobon, Northern Samar 6401
Capul, Northern Samar 6408
Catarman, Northern Samar 6400
Catubig, Northern Samar 6418
Gamay, Northern Samar 6422
La Navas, Northern Samar 6420
Laoang, Northern Samar 6411
Lapineg, Northern Samar 6423
Lavezares, Northern Samar 6404
Lope de Vega, Northern Samar 6403
Mapanas, Northern Samar 6412
Mondragon, Northern Samar 6417
Palapag, Northern Samar 6421
Anahawan, Southern Leyte 6610
Bontoc, Southern Leyte 6604
Hinunangan, Southern Leyte 6608
Hinundayan, Southern Leyte 6609
Libagon, Southern Leyte 6615
Liloan, Southern Leyte 6612
Maasin, Southern Leyte 6600
Macrohon, Southern Leyte 6601
Malitbog, Southern Leyte 6603
Padre Burgos, Southern Leyte 6602
